LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
ARTBQW, Zucchini Hospital,50+,Woman or female,Very good,,BETTER FLOOR CLEANERS. 1 TISSUE STAYED UNDER A BED FOR 3 DAYS. HAVE NO COMPLAINTS ABOUT ANYTHING
OIUWEY,,18-49,Non-binary,Very good,EXCELLENT PAIN MANAGEMENT POST-SURGERY. EXCELLENT COMMUNICATION/EXPLANATIONS.,I WOULD HAVE PREFERRED BEING ABLE TO ACQUIRE THE PRESCRIBED PAIN MEDICATION AT OR VERY NEAR THE HOSPITAL -- IT WAS THE LAST THING I WANTED TO THINK ABOUT COORDINATING AFTER DISCHARGE. WOULD HAVE ALSO LIKED TO BE ABLE TO WATCH TV FOR NO FEE! BUT I UNDERSTAND FUNDING IS ALWAYS AN ISSUE.
VASRTY, Okra Hospital,50+,Woman or female,Very good,KNOWING THE DOCTORS & STAFF & PHYSIOS & HYDROTHERAPY POOL (XXXX) HYDROTHERAPY POOL (XXXX) HYDROTHERAPY POOL (XXXX) HAVE BEEN DOING HYDRIOTHERAPY SINCE (XXXX) XXXX XXXX XXXX THAN XXXX XXXX. SINCE COVID NOT ABLE TO DO COMMUNITY H/T MY CORE MUSCLES TONE HAS GONE. IHAVE *** *** ***.,ABILITY TO GET COPIES OF SCANS (PAPER) (RELATED TO PRIMARY & GENETIC CONDITION) I AM THE *** IT FOR ALL MY SCANS TO ALL MY DOCTORS SPECIALISTS (10 OF THEM)
QTYEWR, Honeydew Melon Hospital,50+,Man or male,Very good,MOST NURSES CARING AND PROFESSIONAL,THE AMOUNT OF TIME WITH PHYSIOTHERAPIST AND OT AFTER A STROKE. BEING IN HOSPITAL OVER XXXX IS NOT A GOOD TIME FOR STROKE PATIENTS. THEY NEED PHYSIO & OT EVERY DAY NOT JUST MONDAY-FRIDAY AND NO PUBLIC HOLIDAYS. MY REHAB WAS PROLONGED DUE TO LACK OF PHYSIO AND OT FOR XXXX WEEKS WHILE AT XXXX HOSPITAL
KHZJDF, Kiwi Hospital,50+,Woman or female,Good,"KINDNESS WITH SOME OF THE STAFF, NOT ALL STAFF WERE KIND.","MORE EMPATHY FROM NURSING STAFF AND OTHERS INCLUDING NURSING, DOMESTIC, FOOD CATERERS AND CLEANERS."
QTYEWR, Bell pepper Hospital,18-49,Woman or female,Very good,I DIDNT GET DISTURBED,NA
VASRTY, Passionfruit Hospital,50+,Man or male,Very good,THE NURSE IS VERY PATIENT AND HELPING,THEY DID A GREAT JOB .
ARTBQW, Currant Hospital,50+,Man or male,Very good,ALL DOCTORS & NURSES WERE FANTASTIC FROM START TO FINISH,NIL
OPIUSD, Feijoa Hospital,50+,Man or male,Neither good nor poor,NIL. NO BEST PART,THE PART I NEED IS BETTER EXPLANATION FROM THE DOCTOR AND INVOLVE. I NEED BETTER DOCTOR TO EXPLAIN WHY I BEEN IN HOSPITAL
EWRTY, Kumquat Hospital,50+,Woman or female,Very good,ARRIVING IN HOSPITAL & EMERGENCY WAS EXCELLENT,FOOD
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Very good,"ALL MEMBERS OF STAFF WERE ALWAYS COURTEOUS, HELPFUL, OBLIGING AND FRIENDLY",THE CORRIDOR NIGHT LIGHTS COULD HAVE BEEN DIMMED MORE DURING SLEEP TIME AND LESS LOUD TALKING BETWEEN STAFF WOULD HAVE BEEN CONSIDERATE!
VASRTY, Jalapeno Hospital,50+,Woman or female,Very good,"THE STAFF ARE VERY NICE AND KIND,THEY WERE LOOKING AFTER VERY WELL DOESNT MATTER IF THEY ARE BUSY BUT THEY ALWAYS COME TO ASK WHAT L WANT,WHEN L WAS IN PAIN THEY ALWAYS HELP ME TO MAKE SURE THAT I AM FINE AND WARM AND COMFORTABLE.","ALL THE STAFF WERE VERY CARING AND KIND,THE NURSES WERE WORKING HARD AND CRUCIFICED THEIR LIFE LOOKING AFTER THE PATIENT IT DOESNT MATTER WHAT THEY DID THEIR BEST ALL DAY ALL NIGHTAND THEY ARE ALL IN MY PRAYER EVERY NIGHT TO BLESS THEM BY HEAVENLY FATHER."
QESRRT, Cactus fruit Hospital,50+,Woman or female,Very good,SATISFIED WITH CARE,NIL
QTYEWR, Rambutan Hospital,50+,Woman or female,Very good,0,0
LAUJSH, Habanero Hospital,50+,Man or male,Good,MY LEFT LEG. PLEASE DO NOT ASK ABOUT HOSPITAL BECAUSE I WAS ONLY XXXX HOURS IN HOSPITAL,YES YOU DO
RTUITO, Serrano Hospital,50+,Woman or female,Good,MEDICATION DELIVERED ON TIME,MORE TIME NEEDED TO GIVE PATIENTS QUIET TIME & PEACE AND PRIVACY TOO MANY INTERUPTIONS DURING DAY
MZNBSD, Sweet potato Hospital,50+,Woman or female,Very good,EXCELLENT CARE-NO COMPLAINTS,
QTYEWR, Rambutan Hospital,18-49,Woman or female,Very good,HOW KIND EVERYONE WAS,MORE WARM BLANKETS
MZNBSD, Sweet potato Hospital,50+,Man or male,Very good,ALL STAFF IN REHAB,NIL
OPIUSD, Ugli fruit Hospital,50+,Woman or female,Good,KIND AND CARING STAFF. PHYSIO WAS GOOD.,MY PHYSIO WAS JUST FOR PELVIC INJURY BUT I ALSO HAD FRACTURED COLLARBONE WHICH I HAD NO TREATMENT FOR
QWRET, Olive Hospital,50+,Man or male,Very good,GOOD CARE & GOOD FOOD & CLEAN ROOMS,NIL
RTUITO, Peach Hospital,50+,Woman or female,Very good,COMPASSION FOR ANY SITUATION. ENCOURAGEMENT TO PERSEVERE WITH PHYSIO'S INSTRUCTIONS. (THIS APPLIES TO BOTH HOSPITALS XXXX HR. AND XXXXX),NOTHING-I WAS VERY IMPRESSED AND APPRECIATIVE OF THEIR CARE (AT BOTH HOSPITALS)
MZNBSD, Gooseberry Hospital,50+,Man or male,Poor,ER TEAM ESPECIALLY RN XXXX WHO WAS ON DUTY PM XXXX IN ER AND DID A DOUBLE SHIFT MORNING AND PM OF XXXX. HE/SHE ENSURED I HAD INFORMATION; PAIN RELIEF; ASSISTED WITH ME WITH FLUIDS AND MEALS (WAS UNABLE TO USE ARMS AND COULD NOT REACH MY FACE OR WITH PERSONAL CARE). ENSURED I HAD HELP FOR PERSONAL CARE,MORE STAFF ON WARD. DUE TO STAFF BEING PRESSURED=->POOR INFORMATION HANDOVER I WAS UNABLE TO FEED SELF/TOUCH FACE/NEEDED ASSISTANCE TO TOILET FOR 2 PLUS DAYS. ->STAFF LEFT MEDICATION IN CUP ON TABLE FOR ME TO TAKE; GAVE NO ASSISTANCE WITH MEALS OR PERSONAL CARE; PROVIDED UNSUITABLE FOOD FOR MY CONDITIONS; DID NOT CHANGE SHEETS OR MAKE BED DURING XXXX DAYS ON WARD. DUE TO COVID RESTRICTIONS MY PARTNER WAS UNABLE TO PROVIDE ASSISTANCE AS HE/SHE DID DURING PREVIOUS HOSPITALISATION AT XXXX WITH SHOWERING ETC
KHZJDF, Yam Hospital,50+,Man or male,Neither good nor poor,FINDING MY PROBLEM,COMMUNICATION WITH DRS TO BE LOOKED AT
OPIUSD, Feijoa Hospital,50+,Man or male,Good,NURSING WAS BEST PART WHILE I WAS IN THE HOSPITAL,DURING DISCHARGE FROM THE HOSPITAL EVERYONE SHOULD GET HIS DISCHARGE CERTIFICATE AS EARLY AS POSSIBLE
QWRET, Apricot Hospital,50+,Woman or female,Very good,ALL STAFF WERE CARING & KNOWLLEDGEABLE.,THE FOOD WAS VERY POOR  IN QUALITY & PRESENTATION. OBVIOUSLY SOURCED ON PRICE & NOT QUALITY.
KHZJDF, Currant Hospital,50+,Man or male,Very good,ALL OVER GENERAL CARE.,I WAS QUITE HAPPY WITH ALL MY TREATMENT.
ARTBQW, Cassava Hospital,50+,Woman or female,Very good,THE CARE GIVEN AT BOTH XXXX XXXX XXXX AND XXXX THEY WERE SO CARING AND I REALLY THINK MY LIFE WAS NOT ONLY SAVED BUT I WAS GIVEN THE CHANCE OF A NORMAL LIFE AFTER A SHOCKING FALL AND 2 STROKES BOUGHT ON BY BLOOD CLOTS IN MY LEGS IT'S WITH GREAT RESPECT I MUST GIVE TO MY DOCTORS AND STAFF AT BOTH THESE HOSPITALS THAT SAVED ME AND SENT ME HOME ALMOST WHOLE AGAIN. AT XXXX XXXX I WAS JUST WAITING TO BE RELEASED .,THE WHOLE HOSPITAL IS BEYOND USE IN 2021 THE STAFF ARE RUSHED IN THEIR CARE AND AFTER THE CARE RECEIVED IN THE TWO PREVIOUS HOSPITAL I WAS ONLY THERE FOR  PHYSICAL THERAPY FOR XXXX DAYS AND THAT FELL ON XXXX XXXX AND THOSE STAFF WERE OFF DUTY SO I CAME HOME .
VASRTY, Jalapeno Hospital,50+,Woman or female,Good,COMPASSIONATE APPROACH,NEGOTATION IN THE SYSTEM
BNAVSE, Plum Hospital,50+,Man or male,Very good,ALL PART OF CARE I RECEIVED WHILE IN HOSPITAL WAS VERY GOOD,NO IDEA ALL GOOD AND THANK YOU
KHZJDF, Currant Hospital,50+,Man or male,Very good,NURSES EXPLAIN THINGS IN A WAY YOU COULD UNDERSTAND,NIL
KHZJDF, Strawberry Hospital,50+,Man or male,Very good,HELP FROM NURSES,BETTER MEALS
MZNBSD, Gooseberry Hospital,50+,Man or male,Very good,THE STAFF WERE GREAT! THE FOOD WAS GOOD. THE ACCOMMODATION BOTH MODERN AND COMFORTABLE. I HOPE IF I NEED A HOSPITAL AGAIN I GO BACK TO XXXX,N/A
ARTBQW, Raspberries Hospital,50+,Woman or female,Very good,THE NURSES WERE VERY EFFICIENT AND FRIENDLY NOTHING WAS TO MUCH FOR THEM. ONE DAY I FELT VERY SELFCONSCIOUS AS I HAD NOT GOT TO THE TOILET ON TIME AND I XXXX MY PANTS AND STARTED CRYING. I RANG THE BUZZER FOR THE NURSE HE/SHE GAVE ME A CUDDLE TO CALM ME DOWN AND SAID THATS WHAT WE ARE HERE FOR *** PATIENTS,"THERE IS NOTHING YOU CAN IMPROVE, EXCEPT MORE NURSES"
EWRTY, Plantain Hospital,18-49,Woman or female,Poor,XXXX AND XXXX WERE WONDERFUL AND CARING NURSES THROUGHOUT MY STAY AND REALLY MADE THE JOURNEY EASIER. MY SURGEON DR XXXX WAS AMAZING.,"CLEANLINESS, THE STATE OF BATHROOMS WERE DISGRACEFUL. THERE WAS BLOOD AND POO STAINS ACROSS THE HANDRAILS, FLOOR FOR OVER XXXX DAYS. SANITARY PADS BROKEN UP AND SPILLED THROUGH THE TOLIET AND FLOOR. THE SMELL WAS DISGUSTING. I HAD TO REQUEST THE BATHROOM TO BE CLEANED. THE CLEANER WAS A CREEP - STARING IN THE SMALL GAP IN THE CURTAINS.  THERE WAS NO PRIVACY  IN THE ROOMS AT A TIME I FELT THE MOST VULNERABLE IN MY LIFE. THE DAY AFTER A TOTAL COLECTOMY, I WAS SHARING THE ROOM WITH A MAN/WOMEN WHO WAS IN NEED OF BOWEL PREP, THEIR SMELL AND TIME HE/SHE SPENT IN THE BATHROOM WASNT FAIR.  THE NIGHT NURSES WERE RUDE AND PROBLEMATIC. I HAD PAIN IN MY WRIST FROM THE CANULA AND WHEN I ASKED FOR IT TO BE LOOKED AT WAS TOLD I NEED TO FORGET ABOUT IT AND JUST ACCEPT IT. TURNS OUT I HAD A BLOOD CLOT. THANKFULLY THERE WERE SOME NURSES WHO WERE GREAT I.E. XXXX."
KHZJDF, Banana Hospital,50+,Man or male,Good,WELL LOOKED AFTER BY GOOD STAFF,LISTENING TO YOUR PATIENT
MZNBSD, Gooseberry Hospital,50+,Woman or female,Good,,THIS IS A GREAT RANGE OF SERVICE FROM POOR TO EXCELLENT DEPENDING ON THE INDIVIDUAL
RTUITO, Taro Hospital,50+,Woman or female,Very good,"I WAS ADMITTED TO HOSPITAL FOLLOWING A TIA THE NIGHT BEFORE. BECAUSE I HAVE HAD 2 MASECTOMYS I ALWAYS TRY TO AVOID INJECTIONS, *** & BP READINGS ON MY ARMS BECAUSE OF THE POSSIBILITY OF LYMPH OEDEMA. MY REQUEST FOR THE FREQUENT BP READINGS TO BE TAKEN ON MY LEGS WAS ALWAYS CHEERFULLY ADHERED TO BY THE NURSING STAFF.","AFTER ADMISSION, I WAS GIVEN A BED IN A 2 BED WARD WITH ANOTHER MALE/FEMALE PATIENT WHO WAS DISCHARGED NEXT DAY. THE BED WAS THEN OCCUPIED BY A MALE/FEMALE PATIENT WITH A LOUD PERSISTANT COUGH BOTH OF WHICH I FOUND MOST DISTURBING, IN SPITE OF THE CURTAIN BETWEEN US. I WAS NOT COMFORTABLE WITH THIS ARRANGEMENT AS I WAS WEARING HOSPITAL GOWNS FOR CASE MANAGEMENT OF MY HEART MONITORING DEVICE."
VASRTY, Okra Hospital,50+,Woman or female,Good,PHSYIOTHERAPY TO GET ME MOBILE AND HOME,IMPROVE THE FOOD-MEALS. PS-IT WOULD BE BEST TO FORWARD SURVEY A MONTH AFTER LEAVING HOSPITAL THAN NEARLY XXXX MONTHS LATER
EWRTY, Yambean Hospital,50+,Woman or female,Very good,"AS IT WAS DURING COVID, VERY CLEAN, HAD COVID TEST ON ARRIVAL, ALL STAFF WERE MASKS & ALL VISITORS HAD STRICT GUIDE LINES. NURSING STAFF VERY FRIENDLY & HELPFUL, EXPECT ONE WHO WAS THE HEAD NURSE OF THE WARD, HE/SHE WAS VERY STRICT, NEVER HAPPY BUT DID HIS/HER JOB","THE CARE WAS VERY GOOD WHEN IN A 4 BED ROOM. HOWEVER WHEN MOVED TO MY OWN ROOM, VERY SLOW ON WHEN I BUZZED FOR A NURSE. I WAS VERY SICK AT THE TIME & THEY WERE VERY SLOW EVEN THE DOCTOR TOOK WAY TOO LONG. OVERALL IN THE WARD IT WAS VERY GOOD"
QERYUI, Tangerine Hospital,50+,Man or male,Very good,THE PROFESSIONALISM OF STAFF IN ED. THE CALM APPROACH WAS VERY IMPRESSIVE.,NOTHING THAT'S OBVIOUS.
QTYEWR, Bell pepper Hospital,50+,Woman or female,Very good,THEIR PATIENCE,
KHZJDF, Currant Hospital,50+,Man or male,Very good,THE NURSING STAFF,
QESRRT, Jicama Hospital,50+,Woman or female,Very good,"FOR XXXX - IT HAD A WONDERFUL FRIENDLY HOMELY & CARING ATMOSPHERE - THE GOOD STAFF MORAL INSPITE OF CHRONIC SHORT STAFFING WAS EXEMPLARY. THEY WERE ON THE MOST PART CHEERY & A PLEASURE TO HAVE AROUND. THEIR CARE WAS EXEMPLARY ALSO, IN SPITE OF THE CHALLENGES OF SHORT STAFFING.","MORE STAFF - I FELT THERE WAS UNFAIR PRESSURE ON STAFF - THEY ARE THE HEALTH SERVICES VERY IMPORTANT RESOURCE, ALONG WITH VERY WELL LOOKED AFTER WHOLISTICALLY ETC, I.E. TO BE GIVEN THEM. IN XXXX I FELT THEY NEED TO HAVE A MEDICAL DR IN ATTENDANCE @ ALL TIMES & NOT JUST DURING XXXX XXXX AT XXXX."
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,EXCELLENT CARE FROM ADMISSION TO DISCHARGE,
KHZJDF, Sweet corn Hospital,50+,Woman or female,Very good,,BETTER FOOD
EWRTY, Yambean Hospital,50+,Man or male,Very good,THE NURSING STAFF WERE OUTSTANDING. HUGE APPRECIATION TO THEM.,THE ENTERTAINMENT SYSTEM.
OPIUSD, Guava Hospital,50+,Man or male,Very good,REALLY GOOD STAFF,ALL GOOD
QWRET, Apple Hospital,50+,Man or male,Very good,THE CARING STAFF,MAYBE THE FOOD A BIT
OPIUSD, Guava Hospital,50+,Woman or female,Very good,FRIENDLY CARING CONSCIENCE STAFF FREE T.V,THE FOOD: -NEEDS QUALITY-NOT QUANTITY-THE MEAT WAS ALWAYS VERY TOUGH. THE FISH WAS ALWAYS SMELLY. THE PORTIONS WERE TOO LARGE. THE GRAVY WAS DISGUSTING. THE SANDWICHES WERE DELICIOUS. THE SALADS WERE ALSO DELICIOUS BUT HAD FAR TOO MUCH LETTUCE IN THEM
CVBHMI, Bean sprouts Hospital,50+,Woman or female,Very good,I WAS PLEASED TO NOTE THE 'COMPUTER NURSING' WITH TWO STAFF WITH A COMPUTER GAVE OUT AFTER CHECKING BY NURSES THE MEDICATIONS GIVEN TO EACH PATIENT IN THE WARD.,
QWRET, Bamboo shoots Hospital,50+,Woman or female,Good,TRYING TO FIND OUT WHAT MY CONDITION WAS. THE TESTS THAT THEY DID. MENTALLY & PHYSICAL THIS HELPED ME KNOWING & UNDERSTANDING WHAT WAS WRONG,"WHEN A MAN/WOMAN WAS DYING THEY DID NOT LET XXXX STAY WITH HIM/HER BECAUSE IT WAS A XXXX BED MAN/WOMAN ONLY HE/SHE DIED THEN THEY PUT A MAN/WOMAN IN THE WARD IN HIS/HER BED, WHICH MADE US VERY UNCOMFORTABLE"
ARTBQW, Zucchini Hospital,50+,Woman or female,Good,THE HELPFULNESS AND CARING,MORE STAFF AND BEDS
CVBHMI, Dragonfruit Hospital,50+,Woman or female,Good,I WAS THERE LESS THAN TWENTY FOUR HOURS AND DON'T REMEMBER SOME OF IT,AS ABOVE
QERYUI, Durian Hospital,50+,Woman or female,Very good,STAFF-ALL ASPECTS-FROM MEDICAL & NURSING TO FOOD DELIVERY PEOPLE & EVEN CLEANERS WERE VERY FRIENDLY,I DO NOT LIKE MIXED WARDS. PLEASE-WHERE POSSIBLE-GIRLS WITH GIRLS/WOMEN. BOYS ONLY IN WARDS WITH OTHER BOYS/MEN
KHZJDF, Currant Hospital,50+,Woman or female,Good,THE CARE AND HELP GIVEN WITH PERSONAL ISSUE RELATED TO PERMANENT STOMA,BATHROOMS AND TOILETS NEED TO BE RE-DESIGNED AND INCLUDE SOME LUNCH SPACE. ETC.
MZNBSD, Starfruit Hospital,50+,Woman or female,Very good,EVERYTHING WAS VERY GOOD NO COMPLAINT FROM THE XXXX HOSPITAL OR THE XXXX,A FEW & MORE WHEELCHAIRS. WOULD BE VERY GOOD IN BOTH HOSPITAL. THANK YOU. XXXX XXXX
KHZJDF, Currant Hospital,50+,Woman or female,Very good,"OVERALL BEING MADE TO FEEL LESS NERVOUS BY BEING REASSURED AND CARED FOR FROM THE TIME I WAS ADMITTED BY THE NURSING STAFF AND FEELING VERY WELL CARED FOR BY THE DOCTORS BEFORE, DURING AND AFTER THE OPERATION WITH SUCCESSFUL PROBLEM OUTCOME.","I FELT A MORE INDIVIDUAL MEDICATION CHART NEEDED PER PERSON AS LAXATIVES WHEN IN THE WARD FOR ME NEEDED TO BE JUST METAMUCIL,  (AS I REACT TO TOO MUCH), AND DID NOT ALSO NEED TO BE GIVEN 2 COLOXYL TABS AT THE SAME TIME TOO..  THE NIGHT OF THE OPERATION I REFUSED AFTER ASKING AND NOT BEING TOLD BEFORE NEARLY BEING ADMINISTERED OF THE BLOOD THINNING INJECTION WHICH SEEMED TO BE AUTOMATICALLY GIVEN. I CAN BLEED EASILY AND I ALREADY HAD A VIBRATING MACHINE ON HELPING CIRCULATION. THE NEXT MORNING AFTER MY OPERATION I WAS ADVISED BY MY EXCELLENT GYNAECOLOGIST XXXX THAT I COULD RECOMMENCE MY REGULAR BLOOD THINNING MEDICATION AND MY HEART MEDICATION WHICH I DID. I FELT RATHER UNCOMFORTABLE WITH,  (ALTHOUGH VERY PLEASANT PEOPLE OPPOSITE),  BUT THEY WERE MEN/WOMEN AND JUST A CURTAIN SEPARATING IF PULLED  WHEN THEY OR MYSELF WERE MANOEUVRING IN AND OUT OF BED."
EWRTY, Edamame Hospital,50+,Man or male,Very good,"(1) PROMPT ATTENTION TO MY NEEDS, REGARDING NIGHT TIME URINATION BECAUSE OF PROSTATE AND BLADDER CONDITIONS. NURSE WAS AT MY SIDE AS SOON AS I PRESSED THE BUTTON. (2) HELP IN TOILET AND SHOWER WHEN FIRST ADMITTED","THIS NIGHT SEEMED ODD BUT I CANNOT THINK HOW MY CARE COULD HAVE BEEN IMPROVED. HAVE WORKED IN XXXX, AUSTRALIA AND XXXX AND RATE MEDICAL AND HOSPITAL CARE IN AUSTRALIA THE TOP AND THE BEST!"
QERYUI, Durian Hospital,50+,Woman or female,.,HAVING A PRIVATE ROOM,ROOM WAS COLD
OIUWEY, Longan Hospital,50+,Man or male,Very good,ALL THE DOCTORS AND NURSES THAT HELPED ME TO RECOVER,EVERYTHING WAS GOOD IN THE HOSPITAL
QWRET, Bamboo shoots Hospital,50+,Woman or female,Very good,CARE FOR ME,NOTHING
BNAVSE, Lemon Hospital,18-49,Man or male,Good,ALL,NO
RTUITO, Fiddleheads Hospital,50+,Woman or female,Very good,I FELT THAT I WAS GETTING HELP FOR MY PROBLEM,NOTHING THAT I CAN THINK OF
OPIUSD, Watermelon Hospital,50+,Man or male,Very good,"THE STAFF WAS GREAT, THE RESULT WAS EXCELLENT",THE GOVERNMENT NEED TO INVEST MORE MONEY INTO HOSPITALS AS STAFF ARE OVERWORKED AND WARDS WERE CLOSED BECAUSE THEY COULD AFFORD STAFF
MZNBSD, Papaya Hospital,50+,Man or male,Very good,"LAST TIME WERE UNABLE TO FIX OR GIVE MEDICATION VERTIGO, AND OTHER BALANCE ISSUES SINCE XXXX IMPLANT XXXX",
QWRET, Apricot Hospital,50+,Man or male,Very good,I'M SO VERY HAPPY WITH EVERYONE DOCTOR-NURSES CLEANER EVERYONE VERY GOOD,I THINK THE XXXX PUBLIC HOSPITAL IS VERY GOOD AND I'M SO VERY HAPPY
QESRRT, Lotus root Hospital,50+,Woman or female,Good,"I WAS LOOKED AFTER VERY WELL, I AM VERY GRATEFUL FOR THAT 'THANK YOU'",EXTRA STAFF (NURSING) TO HELP SOME OF THE VERY SICK PATIENTS
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Very good,THE STAFF,INTERACTION BETWEEN DOCTOR'S RECOMMENDED DIET AND KITCHEN. EG CLEAR DIET OR REDUCED DIET - I WAS TOLD TO DRINK THE RESOURCE PROTEIN DRINK IF THE KITCHEN DIDN'T HAVE ANY - AN ALTERNATIVE WAS NOT PROVIDED. THE SIZE OF THE MEAL WAS REDUCED LEADING TO BEING MUNDRY A NUMBER OF TIMES
QESRRT, Water chestnut Hospital,50+,Woman or female,Good,FIRSTLY I WAS TRANSFERRED TO THE HOSPITAL FROM A DOCTOR'S SURGERY THIS WAS PROMPT A PROFESSIONAL. ON ARRIVAL AT THE HOSPITAL I WAS ATTENDED TO VERY PROMPTLY AND EFFICIENTLY. I WAS VERY COLD AND WAS GIVEN WARM BLANKETS TO REMEDY THIS I HAVE NO COMPLAINT ABOUT CARE,THE ONLY THING I WOULD SAY ABOUT THE DISCHARGE PROCESS IS THAT I DID NOT RECEIVE A DISCHARGE SUMMARY DUE TO A COMPUTER MALFUNCTION. I SOUGHT A COPY FROM THE SURGERY AND FELT IT WAS POORLY WRITTEN-AS I HAVE A BACKGROUND IN XXXX-I MAY BE A HARD MARKER. THE EXPERIENCE WAS NOT THAT BAD IN A TIME OF NEED. THANK YOU
RTUITO, Taro Hospital,50+,Woman or female,Very good,I SPENT XXXX DAYS IN XXXX XXXX XXXX HOSPITAL & XXXX DAYS IN XXXX XXXX HOSPITAL & TRULY CANNOT FAULT EITHER OF THEM-I ALSO HAD ANOTHER XXXX DAYS IN XXXX XXXX AND XXXX AGAIN AFTER-THEN ANOTHER XXXX XXXX XXXX XXXX & XXXX-MY HOSPITAL TREATMENT AT XXXX STILL ONGOING-& HAVE BEEN TREATED EXCELLENTLY ALL THE WAY,
MZNBSD, Squash Hospital,50+,Woman or female,Very good,IT WAS ALL GENERALLY ACCEPTABLE AND AS GOOD AS I GOOD HOPE FOR,NOTHING REALLY
LAUJSH, Grapes Hospital,50+,Woman or female,Very good,I WAS WELL LOOKED AFTER,"PRIVACY. I FOUND DISCUSSIONS WITH OTHER PATIENTS WAS VERY LOUD. NOISE AT NIGHT BY OTHER PATIENTS BUT ALSO BY STAFF. LINO FLOORS, METAL TROLLEYS MAKE CONSIDERABLE NOISE."
KHZJDF, Jicama Hospital,50+,Man or male,Very good,THE NURSING CARE AS THE STAFF WERE ATTENTIVE AND COMPETENT.,
MZNBSD, Grapefruit Hospital,50+,Man or male,Very good,TIME IN ISOLATION WARD AS COVID SURGED,COVID SUSPECT. TIME IN SMALL AIRLESS (?) ROOM IN EMERGENCY WITH NO RELIEF FROM SYMPTOMS-DIFFICULTY BREATHING. ATTACHED TO *** ***/BP MACHINE WITH TUBES ON NARROW TROLLEY.HADN'T EATEN OR DRANK ALL DAY. FINALLY GIVEN TEA & SANDWICHES - GOT RELEASED AND LESS CLAUSTROPHOBIC
OIUWEY, Longan Hospital,18-49,Woman or female,Very good,THE STAFF WERE VERY HELPFUL,
KHZJDF, Kiwi Hospital,50+,Man or male,Neither good nor poor,GETTING OUT OF THE PLACE,THE FOOD WAS OF SUCH POOR QUALITY I WAS UNABLE TO EAT
QTYEWR, Rambutan Hospital,50+,Man or male,Very good,TO HAVE THE KNOWLEDGE THAT EVERY PART OF MY PROBLEM WAS BEING TAKEN CARE OF,N/A
VASRTY, Cantaloupe Hospital,50+,Man or male,Very good,PROMPT AND EFFICIENT,HOSPITAL WAS UNDERGOING RENOVATIONS
MZNBSD, Squash Hospital,50+,Woman or female,Neither good nor poor,,CLEANING OF FACILITIES. ATTITUDE OF CARERS (NURSES) TO PATIENTS TOO LONG WAITING ATTENTION WHEN NEEDED. SOME BEDSIDE MANNERS BY STAFF
ARTBQW, Burdock Hospital,50+,Man or male,Very good,,MEALS QUALITY AND CHOICE
OIUWEY, Chilli pepper Hospital,50+,Man or male,Very good,"IT WAS ALWAYS, BY ALL, KIND COURTEOUS AND PROMPT. AND IT SEEMS THAT EVERYONE LIKES AND RESPECTS EACH OTHER, GIVING A NICE HARMONIOUS CALMING AURA IN THE BUILDING",NIL
VASRTY, Okra Hospital,18-49,Man or male,Very good,THE TIMELY VISITS BY NURSES.,NOT SURE.
QTYEWR, Radicchio Hospital,50+,Man or male,Very good,WELL ORGANISED STAFF AND DOCTORS,EVERYTHING WAS FINE
QERYUI, Durian Hospital,50+,Man or male,Very good,THE CARE AND ATTENTION I RECEIVED IN XXXX HOSPITAL WAS EXTREMELY GOOD. I REALLY COULD NOT COMPLAIN ABOUT ANY TREATMENT I RECEIVED,
QTYEWR, Bell pepper Hospital,50+,Man or male,Very good,ALL GOOD,FOOD.
EWRTY, Plantain Hospital,50+,Woman or female,Very good,"1.ORGANISE, PREPARE, CARE FOR ALL AROUND THE PROCEDURE AND THE PROCEDURE. 2.CARING FOR MY HEALTH ISSUE WITH HEALTH PROFESSIONAL. 3. CARE RECIEVED FROM HEALTH PROFFESIONALS. 4. ENOUGH INFORMATION ABOUT HOW TO CARE AND SEEK HELP IF NEEDED. 5. OVERALL CARING MY E.N.T. SPECIALIST DR XXXX AND ORGANISE DURING SCHOOL HOLIDAY TO SUPPORT AND CARE FOR ME AND ORGANISE WITH CONTACTING - MY RESPIRATORY SPECIALIST DR XXXX AND CARDIOLOGIST DR XXXX IN XXXX XXXX HOSPITAL.",1.MY LIFE HAVE BEEN SAVED AS I HAVE SEVERE COPD AND MY GASTRO. 2.HEALTH PROFFESSIONALS HIGHLY RESPECT MY THOSE 2(TWO) MEDICAL ISSUE WHICH I NEEDED MOST. 3.ORGANISING MY PROCEDURE DURING SCHOOL HOLIDAY TO SUPPORT AND CARE FOR ME TO ARRANGE MY XXXX TO HAVE ENOUGH TIME TO LOOK AFTER ME AND MY XXXX WHO DEVELOPED DISABILITY SINCEXXXX
KHZJDF, Chicory Hospital,50+,Man or male,Very good,I CANNOT SINGLE OUT ANYTHING IN PARTICULAR. THEY WERE ALL THE BEST PART,CAN'T THINK OF ANYTHING THAT NEEDS IMPROVING.
